12DICHLORETHDEG-PWY	Chlorinated Compound Degradation
14DICHLORBENZDEG-PWY	Chlorinated Compound Degradation
1CMET2-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
2AMINOBENZDEG-PWY	Aromatic Compound Degradation
2ASDEG-PWY	Aromatic Compound Degradation
2OXOBUTYRATECAT-PWY	Carboxylate Degradation
2PHENDEG-PWY	Aromatic Compound Degradation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Aromatic Compound Degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	Aromatic Compound Degradation
4AMINOBUTMETAB-PWY	Amine and Polyamine Degradation
4TOLCARBDEG-PWY	Aromatic Compound Degradation
6-HYDROXYCINEOLE-DEGRADATION-PWY	Secondary Metabolite Degradation
ACETATEUTIL-PWY	Carboxylate Degradation
ACETOACETATE-DEG-PWY	Fatty Acid and Lipid Degradation
AEROBACTINSYN-PWY	Secondary Metabolite Biosynthesis
ALACAT2-PWY	Amino Acid Degradation
ALADEG-PWY	Amino Acid Degradation
ALANINE-SYN2-PWY	Amino Acid Biosynthesis
ALANINE-VALINESYN-PWY	Amino Acid Biosynthesis
ALKANEMONOX-PWY	Inorganic Nutrient Metabolism
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism
AMMASSIM-PWY	Inorganic Nutrient Metabolism
AMMOXID-PWY	Inorganic Nutrient Metabolism
ANAEROFRUCAT-PWY	Fermentation
ANAGLYCOLYSIS-PWY	Glycolysis
ANAPHENOXI-PWY	Amino Acid Degradation
ARABCAT-PWY	Carbohydrate Degradation
ARG+POLYAMINE-SYN	Amine and Polyamine Biosynthesis
ARG-GLU-PWY	Amino Acid Degradation
ARG-PRO-PWY	Amino Acid Degradation
ARGASEDEG-PWY	Amino Acid Degradation
ARGDEG-III-PWY	Amino Acid Degradation
ARGDEG-IV-PWY	Amino Acid Degradation
ARGDEG-PWY	Amino Acid Degradation
ARGDEG-V-PWY	Amino Acid Degradation
ARGDEGRAD-PWY	Amino Acid Degradation
ARGORNPROST-PWY	Amino Acid Degradation
ARGSPECAT-PWY	Amine and Polyamine Biosynthesis
ARGSYN-PWY	Amino Acid Biosynthesis
ARGSYNBSUB-PWY	Amino Acid Biosynthesis
ARO-PWY	Aromatic Compound Biosynthesis
ASPARAGINE-BIOSYNTHESIS	Amino Acid Biosynthesis
ASPARAGINE-DEG1-PWY	Amino Acid Degradation
ASPARAGINESYN-PWY	Amino Acid Biosynthesis
ASPARTATE-DEG1-PWY	Amino Acid Degradation
ASPARTATESYN-PWY	Amino Acid Biosynthesis
ASPASN-PWY	Amino Acid Biosynthesis
AST-PWY	Amino Acid Degradation
BENZCOA-PWY	Aromatic Compound Degradation
BETSYN-PWY	Amine and Polyamine Biosynthesis
BGALACT-PWY	Carbohydrate Degradation
BIOTIN-BIOSYNTHESIS-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
BRANCHED-CHAIN-AA-SYN-PWY	Amino Acid Biosynthesis
BSUBPOLYAMSYN-PWY	Amine and Polyamine Biosynthesis
CALVIN-PWY	C1 Compound Utilization and Assimilation
CARNMET-PWY	Amine and Polyamine Degradation
CAROTENOID-PWY	Secondary Metabolite Biosynthesis
CATECHOL-ORTHO-CLEAVAGE-PWY	Aromatic Compound Degradation
CENTBENZCOA-PWY	Aromatic Compound Degradation
CENTFERM-PWY	Fermentation
CHLOROPHYLL-SYN	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
CHOLINE-BETAINE-ANA-PWY	Amine and Polyamine Degradation
CITRULLINE-DEG-PWY	Amino Acid Degradation
CO2FORM-PWY	Respiration
COA-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
COBALSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
CODH-PWY	C1 Compound Utilization and Assimilation
COLANSYN-PWY	Carbohydrate Biosynthesis
COMPLETE-ARO-PWY	Amino Acid Biosynthesis
CRNFORCAT-PWY	Amine and Polyamine Degradation
CYANCAT-PWY	Inorganic Nutrient Metabolism
CYCLOHEXANOL-OXIDATION-PWY	Alcohol Degradation
CYSTSYN-PWY	Amino Acid Biosynthesis
DAPLYSINESYN-PWY	Amino Acid Biosynthesis
DARABCAT-PWY	Carbohydrate Degradation
DARABCATK12-PWY	Carbohydrate Degradation
DARABITOLUTIL-PWY	Secondary Metabolite Degradation
DENITRIFICATION-PWY	Inorganic Nutrient Metabolism
DENOVOPURINE2-PWY	Nucleoside and Nucleotide Biosynthesis
DESULFONATION-PWY	Aromatic Compound Degradation
DETOX1-PWY	Reactive Oxygen Specie Degradation
DETOX1-PWY-1	Reactive Oxygen Specie Degradation
DHGLUCONATE-PYR-CAT-PWY	Secondary Metabolite Degradation
DISSULFRED-PWY	Inorganic Nutrient Metabolism
DTDPRHAMSYN-PWY	Carbohydrate Biosynthesis
ECASYN-PWY	Cell Structure Biosynthesis
ENTBACSYN-PWY	Secondary Metabolite Biosynthesis
ENTNER-DOUDOROFF-PWY	Carbohydrate Degradation
ETOH-ACETYLCOA-ANA-PWY	Alcohol Degradation
FAO-PWY	Fatty Acid and Lipid Degradation
FASYN-ELONG-PWY	Fatty Acid and Lipid Biosynthesis
FASYN-INITIAL-PWY	Fatty Acid and Lipid Biosynthesis
FERMENTATION-PWY	Fermentation
FESULFOX-PWY	Inorganic Nutrient Metabolism
FLUORENE-DEG-9-ONE-PWY	Aromatic Compound Degradation
FOLSYN-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
FORMASS-PWY	C1 Compound Utilization and Assimilation
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation
FUCCAT-PWY	Carbohydrate Degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
GALACTARDEG-PWY	Secondary Metabolite Degradation
GALACTCAT-PWY	Secondary Metabolite Degradation
GALACTITOLCAT-PWY	Secondary Metabolite Degradation
GALACTUROCAT-PWY	Secondary Metabolite Degradation
GALDEG-PWY	Carbohydrate Degradation
GALLATE-DEGRADATION-I-PWY	Aromatic Compound Degradation
GALLATE-DEGRADATION-II-PWY	Aromatic Compound Degradation
GAMMAHEXCHLORDEG-PWY	Chlorinated Compound Degradation
GDPRHAMSYN-PWY	Carbohydrate Biosynthesis
GLCMANNANAUT-PWY	Amine and Polyamine Degradation
GLNSYN-PWY	Inorganic Nutrient Metabolism
GLUAMCAT-PWY	Secondary Metabolite Degradation
GLUCARDEG-PWY	Secondary Metabolite Degradation
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	Carbohydrate Biosynthesis
GLUCONSUPER-PWY	Carboxylate Degradation
GLUCOSE1PMETAB-PWY	Carbohydrate Degradation
GLUCUROCAT-PWY	Secondary Metabolite Degradation
GLUDEG-II-PWY	Fermentation
GLUT-REDOX-PWY	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"
GLUTAMATE-DEG1-PWY	Amino Acid Degradation
GLUTAMATE-SYN2-PWY	Amino Acid Biosynthesis
GLUTAMINDEG-PWY	Amino Acid Degradation
