12DICHLORETHDEG-PWY	Degradation/Utilization/Assimilation
14DICHLORBENZDEG-PWY	Degradation/Utilization/Assimilation
1CMET2-PWY	Biosynthesis
2AMINOBENZDEG-PWY	Degradation/Utilization/Assimilation
2ASDEG-PWY	Degradation/Utilization/Assimilation
2OXOBUTYRATECAT-PWY	Degradation/Utilization/Assimilation
2PHENDEG-PWY	Degradation/Utilization/Assimilation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
4-HYDROXYMANDELATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
4AMINOBUTMETAB-PWY	Degradation/Utilization/Assimilation
4TOLCARBDEG-PWY	Degradation/Utilization/Assimilation
6-HYDROXYCINEOLE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
ACETATEUTIL-PWY	Degradation/Utilization/Assimilation
ACETOACETATE-DEG-PWY	Degradation/Utilization/Assimilation
AEROBACTINSYN-PWY	Biosynthesis
ALACAT2-PWY	Degradation/Utilization/Assimilation
ALADEG-PWY	Degradation/Utilization/Assimilation
ALANINE-SYN2-PWY	Biosynthesis
ALANINE-VALINESYN-PWY	Biosynthesis
ALKANEMONOX-PWY	Degradation/Utilization/Assimilation
ALL-CHORISMATE-PWY	Superpathways
AMMASSIM-PWY	Degradation/Utilization/Assimilation
AMMOXID-PWY	Degradation/Utilization/Assimilation
ANAEROFRUCAT-PWY	Generation of Precursor Metabolite and Energy
ANAGLYCOLYSIS-PWY	Generation of Precursor Metabolite and Energy
ANAPHENOXI-PWY	Degradation/Utilization/Assimilation
ARABCAT-PWY	Degradation/Utilization/Assimilation
ARG+POLYAMINE-SYN	Biosynthesis
ARG-GLU-PWY	Degradation/Utilization/Assimilation
ARG-PRO-PWY	Degradation/Utilization/Assimilation
ARGASEDEG-PWY	Degradation/Utilization/Assimilation
ARGDEG-III-PWY	Degradation/Utilization/Assimilation
ARGDEG-IV-PWY	Degradation/Utilization/Assimilation
ARGDEG-PWY	Degradation/Utilization/Assimilation
ARGDEG-V-PWY	Degradation/Utilization/Assimilation
ARGDEGRAD-PWY	Degradation/Utilization/Assimilation
ARGORNPROST-PWY	Degradation/Utilization/Assimilation
ARGSPECAT-PWY	Biosynthesis
ARGSYN-PWY	Biosynthesis
ARGSYNBSUB-PWY	Biosynthesis
ARO-PWY	Biosynthesis
ASPARAGINE-BIOSYNTHESIS	Biosynthesis
ASPARAGINE-DEG1-PWY	Degradation/Utilization/Assimilation
ASPARAGINESYN-PWY	Biosynthesis
ASPARTATE-DEG1-PWY	Degradation/Utilization/Assimilation
ASPARTATESYN-PWY	Biosynthesis
ASPASN-PWY	Biosynthesis
AST-PWY	Degradation/Utilization/Assimilation
BENZCOA-PWY	Degradation/Utilization/Assimilation
BETSYN-PWY	Biosynthesis
BGALACT-PWY	Degradation/Utilization/Assimilation
